Comment,Factor,Sentiment
u u evil nasty cm god watching u wrong u people u going pay,Location,negative
bjp spoke person child news channel considering view serious bjp always politics every issue even death common people,Location,negative
delhi issue many state also dealing high pollution like jaipur noida mumbai chandigarh central government must come forward reduce pollution taking action even talk air,Government,negative
delhi pollution due physic phenomenon atmospheric medium area pollution acute becomes dense whole polluents settle low lying area are become ok medium becomes rare pollution diappears yahi farak hai padhelikhe aur anpadhon mein lallu,Citizens of Delhi,neutral
dewali mein cracker yahe jalate hai,Citizens of Delhi,neutral
yehi hotha hey unbiased reporting dekho i story pey baar baar kejriwal ka naam le usko blame kare newsbhandry vale thake bhi nahi,Citizens of Delhi,neutral
kejriwal redirecting climate change fund free revdis killing secularly good luck,Vehicle emission,negative
sadly air particle contain deadly variant covid certain harm people delhi city,Citizens of Delhi,negative
yet protest concern public,Location,neutral
thinking change job bengaluru ncr big thanks video,Location,neutral
pollution maharaj kii jai,Vehicle emission,neutral
speak faster,Firecrakers,neutral
jail karo agar koi fire lgata hai aur sath mai factory ke nikalne wale pollution ko check karo,Industrial emission,neutral
educated student wing jnu du others protest better environment policy thedeshbhakt think massive protest make government necessary action,Government,neutral
sarkar ko chahiye ki parali kharid le phir usko sada kar khad bana kar wapas kisan ko bech de aam ke aam guthliyon ke daam,Farming practices,neutral
politician anything votebank stop firm fire impose restriction farmer lose vote,Stubble burning,negative
bhai mere village mai ek bhi khet mai fire nahi lgayi delhi ke pollution ki jimmedaari delhi ki hai 1 khet ki parali 6k mai bikti hai hum kya pagal hai jo parali jalaye ge punjab aur haryana se pollution kya plane mai beth ke delhi jata hailogic ki baat je hai ki parali se pollution hota hai yaha pollution kamm kyu hai fir,Location,neutral
banana republic lawless society monkey rule,Location,negative
question morefrom jharkhand,Location,neutral
question planning leave noida sake moving bangalore although bglore also air pollution much son pneumonia two time last 11 year staying regret decision moving america future kid would still considering migrating country love country would childless wouldnot thought like kya karein selfish dont want environment kid,Location,negative
question moregreat work,Firecrakers,positive
delhi ghuste hee chakkr aa gaye wapis bhaga,Location,neutral
academic leadership iitian mean quality statesman delhicm,Citizens of Delhi,neutral
hii siri listen everytime post videoi listen one show morning recommed please listen journalist old industry show name prime discussion jatinder pannu prime asia tv canada explained topic detail come fact,Citizens of Delhi,neutral
state pollution horrible akash sky visible day time akash seen heard youtube,Location,negative
people interested mandir masjid khatre mei hai pollution,Location,neutral
pls recheck satellite data farm fire sure might handed wrong report farm fire india,Location,negative
himachal city bhi populated ha jam yaha par bhi ha,Location,neutral
instead buying air purifier prefer buy certain air purifying plant like palm snake plant rubber plant money plant etc,Location,neutral
gujarat se hu ham parali jamin gad dete hai jalate nahi issse jamin agle sal achhi fasal hoti hai,Location,neutral
question aur patakhe ban karna sahi hai patakhe nahi jalne chahiye na diwali pe na kisi aur tyohar pe,Location,neutral
stubble burning punjab main reason rice easier grow cotton land punjab becoming unfertile cotton cotton need insecticide tress predator hence government giving free electricity irrigation rice hence production rice stubble thus punjab stubble processing storage factory farmer stubble packaging equipment,Stubble burning,negative
sometimes feel bhagat singh ke naam pe bahut ayyashi kar rahi hai ek jamat,Location,neutral
ask question,Firecrakers,neutral
pehle punjab ko blame karte rahe ab jab khud ki sarkar hone k baad bhi ye haal hai ab koi aur bahana laga government ek jaisi must ask question fix basic human air water food health education,Government,neutral
wiill question,Firecrakers,neutral
complete blame go kejriwal punjab govt kejri said ensure farm burning 100 ban,Government,negative
think aap serious issue stubble fire would 0 10 year tenure instead managed achieve 56 le stubble fire 2022 still commendable still delhites breathing 500 aqi air clearly failed point 30 state well nothing stopped reducing stubble fire 0 since serious issue ncr every year want make political blame party also deserves explain conduct detailed scientific study year 1 govt instead waiting 10th year telling people study basis useless idea like gun implemented whole thing obviously part much larger issue pollution central govt modi many year mean demonetize entire nation currency one night stopped stopping stubble fire one night take serious step tackle larger issue nationwide pollution shocking indian continue get politics 75 year independence,Stubble burning,negative
mno ya na mno tm kitne bhi bde adhikari aya businessman bn jao chlni sirf neta logon ki hi chahe woh kisi bhi party ka ho neta like apunich hi bghwan hi,Location,neutral
really glad someone questioning keep good work really true deshbhakt,Citizens of Delhi,positive
problem delhi alone anyday go around city almost see thing,Location,neutral
great video akash india need low emission zone like uk city also need ban fire firm material start save life,Location,positive
indian give shit future kid future factor truly matter generation lazy thought habituated,Industrial emission,negative
1 unbiased yt channel onwards question,Location,neutral
question moreyour video highly inspiring gujarat,Government,positive
sad time public ask question take action,Government,negative
delhi walo isbr kejriwal ko mainly polution free karane demand karo,Citizens of Delhi,neutral
liked episode raised relevant question btw ayodhya wasi welcomed ram bursting chinese made cracker cracker diwali better way celebrate festival,Location,positive
great analysis akash got emotional towards end,Firecrakers,positive
really sad country heading,Location,negative
pollution control board recruitment nhi la rhe yhi hoga,Location,neutral
itne bure hal nahi hamare ke deshbhakt paidbhakt se rai le,Location,neutral
thanks akash important report,Firecrakers,positive
always continue question sir,Firecrakers,neutral
akash banerjee question morebhakt banerjee question anymore,Location,neutral
modi need blamed air pollution delhi,Location,negative
farmer want tell deshbhakts face pollution delhi start blaming farmer mostly also akash showing thing video count n num factory manufacturing unit vehicle airport polluting water body lack tree ahu etc around delhi one come see farmer year long remember paralli one see beauty love give nature turning green whole year atleast turn bad air fresh burn parralli year year process 1 whole crop roughly,Vehicle emission,negative
hi everyone observe something today negetive topic speak bjp sopke past mistake spreed narative nevr blindly trust kind people sure never reply guess comment deleted soon,Citizens of Delhi,negative
please preapare video water scarcity also next couple year tricky considering influence super el nino,Location,neutral
thought right ask question environmentalist would like make aware society environmental pollution,Firecrakers,neutral
disagree diwali patake phodna like ham diwali ka jo main purpose ha wo bhul rahe ha wo saare lesson jo hame yaad rakhne chahea neads inner bursting fire cracker increase toxicity air also sound animal get hurt like know animal suffer unwanted noise bursting cracker bursting diwali bomb decepts insanity far actual lesson learn diwali danke,Firecrakers,negative
one major reason left delhi son always unwell winter glad made best ever decision life know many care pollution pathetic dangerous situation delhi people blame crib watch late night primetime tamasha one day child blame nothing,Citizens of Delhi,negative
first time dekha aapko unbiased ek dam sahi asa hi vedio hona chahiye naki khali modi modi,Location,neutral
ye bat jarur hai ki pollution ka badla diwali se liya jata hai sport ground election aur industry etc kabhi rok nahi lagti par phir bhi manta hu ki nahi sudharte hume hi maan jana chahiye nhi fodne chahiye pathake bagwaan shri ram ne jo banayi hai hum usi ko khatam kar rahe hai bus apne swad ke liye hindu ko bhi outrage na karke samjna chahiye ki dharti ko apna nahi mante tumhari hai nuksaan karenge iska mtlb ye nahi ki tum bhi karo end save nature iske liye chahe pe chala logo aur netao ko jane economy niche sans lele phle,Vehicle emission,neutral
need batman,Location,neutral
also opinion make body like u said ed sir surely make change,Citizens of Delhi,neutral
garib ki baat krke sympathy lekr manipulate kr leta hu,Location,neutral
bathinda 1 pwd senior visited village stop parali burn farmer ne mil k ussey hi parali jalwai nd fir registered hui think farmer k nxt day road black dharna n hua nd simply un farmer ko chod dia situation bht kharab strict action electricity freeno loan maafino compensation new motor connection etc,Farming practices,neutral
simple sir kejriwal,Citizens of Delhi,neutral
totally agree,Firecrakers,positive
punjab aqi 220 hai delhi 440 hai blame punjab par laga dete hai,Location,negative
3 minute video dekh li par abhi tak isne topic par koi baat nahi ki koi logic wali baat kari hai isne ba itna jaroor pta lag gya londe ne guilt association fallacy use kari hai jhaatu k itni sense nahi hai agar log work home karnge unko transport use nahi karna padega le transportation le polution itni commensense honi chahiye isko dekhne wale million bhi chutiya hai jhaatu se poocho jayada fuel consumption kiska hota hai 2 wheeler ya 4 wheeler maa chudaye wheeler public transport use karo londe ne solutuion kya bataya ed kaam kya kregi pollution rokegi kaise jaise kejriwal yamuna saaf kar raha hai solution dhang ka de deta baki jo pollution source bole wo kaafi sahi,Vehicle emission,neutral
anyone provide answer question,Firecrakers,neutral
fact ko manipulate karne wala ye librandu,Location,neutral
security force jemmedar hai,Location,neutral
bjp like ye kiski mar k gya hamari ya kejru ki,Location,neutral
farm small size k hain plus unme fractional basis pe aag lagaai jaati hai isliye satellite imaging nhi dikhte honge train se travel karte hue farm fire roz dekhta hoon sirf ek 300 km route ka ye haal hai baaki ka extrapolation karlo,Farming practices,neutral
matlab har baat modi ko lana hai,Location,neutral
aire making another episode next year one care matter impact u today sadly includes people kid elder,Firecrakers,negative
poor people akash people think environment job meal concern thought govt policy year destroyed air quality understood reason air pollution encouraging punjab farmer grow wheat crop right crop land lead air pollution also responsible making india diabetic capital world,Government,negative
question hunger truth satisfied,Firecrakers,neutral
sbko apne responsibility lene chaiye environment protection ke liye next generation ko acha earth de paye delhi jesa haal bhut state hai jenka air pollution bhot jyada hai koi govt dhyan nhi dete govt ko agge anna padega kyunki indian people ko koi frdk nhi padta iq level indian people ka gazb hai kyunki india ghar ka waste municipality ko song chalna padta hai esliye people se koi ummed nhi hai govt kuch kre,Government,neutral
yes brother also campaign question fight,Firecrakers,neutral
